OBJECTID_1,PARKING_LO,ROTATE,CREATED_BY,CREATED_DA,MODIFIED_B,MODIFIED_D,access_type,CreationDate,Creator,EditDate,Editor,Location,LATITUDE,LONGITUDE
52,331,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.268795, -97.7383957)",30.268795,-97.7383957
53,332,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2689705, -97.7382584)",30.2689705,-97.7382584
54,333,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.269352, -97.7383881)",30.269352,-97.7383881
55,334,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2662754, -97.7355042)",30.2662754,-97.7355042
56,335,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2664394, -97.734726)",30.2664394,-97.734726
57,336,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2662849, -97.7340622)",30.2662849,-97.7340622
58,337,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2662849, -97.7340622)",30.2662849,-97.7340622
59,338,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2662849, -97.7340622)",30.2662849,-97.7340622
60,339,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2686081, -97.7406387)",30.2686081,-97.7406387
61,340,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2689705, -97.7408295)",30.2689705,-97.7408295
